uuid,jan,name,maker,series,grade,scale,status,memo,updatedAt,sheet_updated_at
E28B8325-A097-4BDD-9896-8B774B9F38F3,,MSZ-010 ダブルゼータガンダム,BANDAI,機動戦士ガンダムZZ,HG,1/144,制作中,,2025-12-19T21:54:03Z,
20CCFCC8-0771-49BA-B9AB-E83386734AEC,,MSZ-006 ゼータガンダム[U.C.0088],BANDAI,機動戦士ガンダムZ,HG,1/144,完成,,2025-12-19T21:54:03Z,
BFAEFD49-1DB2-4D9A-A695-23121EFA7899,,RX-77-01ガンキャノン,BANDAI,ククルス・ドアンの島版,HG,1/144,完成,,2025-12-19T21:54:03Z,
93F8FED4-5526-4FFE-B3B7-AE9D30D6F571,,MS-06S シャア専用ザク 赤い彗星Ver.,BANDAI,機動戦士ガンダム THE ORIGIN,HG,1/144,完成,,2025-12-19T21:54:03Z,
A9E10E26-F675-44ED-AE82-F8D86AEBF1BD,,オージ [スペシャルコーティング],BANDAI,重戦機エルガイム,HG,1/144,予約済み,,2025-12-19T21:54:03Z,
A04252DA-672B-4E8E-A0A3-9DD5352F56FE,,TMF/A-803 ラゴゥ,BANDAI,機動戦士ガンダムSEED,HG,1/144,完成,,2025-12-19T21:54:03Z,
5BD17A01-7252-4DF8-B2F5-26E1A5CDEC47,,FA-78-1 フルアーマー・ガンダムVer.Ka,BANDAI,機動戦士ガンダムサンダーボルト,MG,1/100,完成,,2025-12-19T21:54:03Z,
86915375-CD7E-4931-BFFD-F9E0A581F9EB,,GN-002ガンダムデュナメス［ガンダムベース限定クリアカラー］,BANDAI,機動戦士ガンダム00,MG,1/100,完成,,2025-12-19T21:54:03Z,
7F6F8592-339D-4D87-AA49-6B686A0DABB2,,ダンバイン,BANDAI,聖戦士ダンバイン,HG,1/72,完成,,2025-12-19T21:54:03Z,
FA8E93EF-20A9-43D8-B717-6AF5E85BAFD8,,RX-78-2 ガンダムVer.2.0用武器セット,BANDAI,機動戦士ガンダム,RG,1/144,完成,,2025-12-20T02:51:23Z,
C9C3A854-300E-44D3-95D9-9B24494C7B67,,EXスタンダード ライジングフリーダムガンダム,BANDAI,機動戦士ガンダムSEED FREEDOM,SD,,完成,,2025-12-19T21:54:03Z,
F8396EB7-37DF-47E0-9C00-904E4482D173,,GAT-X105+AQM/E-X01エールストライクガンダム,BANDAI,機動戦士ガンダムSEED,HG,1/144,完成,,2025-12-19T21:54:03Z,
45A727BF-CBF8-4BAD-AF92-4B915520A0DF,,RX-78-02 ガンダム,BANDAI,ククルス・ドアンの島版,HG,1/144,完成,,2025-12-19T21:54:03Z,
39D3F83B-A935-4F03-8C15-53E709C23E1F,,MS-07 グフ,BANDAI,機動戦士ガンダム,HG,1/144,完成,,2025-12-19T21:54:03Z,
BFCB3510-8BE6-4DC8-B95B-29D692B2B843,,ダンバイン,BANDAI,聖戦士ダンバイン,MG,1/35,完成,,2025-12-19T21:54:03Z,
31F2EC62-4587-4845-B7BB-EF6FF48A4A5A,,GN-0000+GNR-010 ダブルオーライザー,BANDAI,機動戦士ガンダム00,RG,1/144,完成,,2025-12-19T21:54:03Z,
